Week,Date,No. S. littoralis,H Temp.,L Temp.,RH,Biological control protocol,weeknum,year
89,5/18/2019,8,27,15,72,Bt,20,2019
90,5/23/2019,4,29,16,74,Bt,21,2019
91,5/30/2019,6,27,18,75,Bt,22,2019
92,6/6/2019,4,27,20,74,Bt,23,2019
93,6/13/2019,6,29,18,70,Bt,24,2019
94,6/20/2019,8,31,22,70,Bt,25,2019
95,6/27/2019,7,33,19,78,Bt,26,2019
96,7/4/2019,8,29,21,75,Bt,27,2019
97,7/11/2019,4,32,22,77,Bt,28,2019
98,7/18/2019,5,30,22,75,Bt,29,2019
99,7/25/2019,4,29,20,78,Bt,30,2019
100,7/30/2019,5,28,20,75,Bt,31,2019
101,8/8/2019,7,29,22,75,Bt,32,2019
102,8/15/2019,9,28,20,74,Bt,33,2019
103,8/22/2019,7,28,21,74,Bt,34,2019
104,8/29/2019,9,29,21,86,Bt,35,2019
105,9/5/2019,9,28,20,82,Bt,36,2019
106,9/12/2019,8,27,20,87,Bt,37,2019
107,9/19/2019,5,29,21,87,Bt,38,2019
108,9/26/2019,6,25,18,86,Bt,39,2019
109,10/3/2019,2,26,18,84,,40,2019
110,10/10/2019,6,24,15,82,,41,2019
111,10/17/2019,4,25,15,84,,42,2019
112,10/24/2019,1,24,15,85,Bt,43,2019
113,10/31/2019,2,23,13,85,,44,2019
114,11/5/2019,3,27,12,84,,45,2019
115,11/14/2019,1,23,11,84,,46,2019
116,11/21/2019,0,23,11,87,,47,2019
117,11/28/2019,0,26,9,86,,48,2019
118,12/5/2019,0,24,13,87,,49,2019
119,12/12/2019,0,23,7,88,,50,2019
120,12/19/2019,1,22,11,88,,51,2019
121,12/25/2019,2,21,8,88,Bt,52,2019
122,1/2/2020,0,20,8,88,,1,2020
123,1/9/2020,0,17,5,88,,2,2020
124,1/16/2020,1,22,5,88,,3,2020
125,1/23/2020,0,21,8,86,,4,2020
